field,source,current use,reason blocked,what permission/review would unblock it
Community,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Hybrid,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Teaching Hospital,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Status,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Last Verified,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Source Confidence,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Director,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Director Credentials,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Associate Program Director 1,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Associate Program Director 2,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Associate Program Director 3,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Coordinator,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Coordinator Email,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Coordinator Phone,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Department Chair,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Chief Residents,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Faculty Page URL,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Categorical Positions,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Residents Per Year,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Total Residents,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Salary PGY1,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Salary PGY2,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Salary PGY3,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Salary PGY4,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Vacation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Meal Allowance,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Educational Stipend,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Research Requirement,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Research Track,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Night Float,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Call Schedule,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Clinic Structure,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Moonlighting,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Visa Sponsorship,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
J1,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
H1B,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Step Preferences,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
COMLEX Accepted,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
IMG Friendly Indicators,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
International Graduates,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
US Graduates,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Board Pass Rate,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Fellowship Placement,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Research Opportunities,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Simulation Center,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Benefits,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Housing,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Parking,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Childcare,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Wellness,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Length,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
First Year Positions,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Application Deadline,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Application Service,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Average Work Hours,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Applicant Interview Format,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Interviews Conducted Last Year,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Interviews Per First Year Position,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
ERAS Participates,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
NRMP Main Match Participation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
US MD Step 1 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
US MD Step 2 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
IMG Step 1 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
IMG Step 2 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
DO COMLEX Level 1 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
DO COMLEX Level 2 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
DO Step 1 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
DO Step 2 Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Minimum LOR,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Maximum LOR,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Specialty Specific LOR Required,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Requires Previous GME,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Offers Preliminary Positions,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Required Away Rotations,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Required Supplemental Information,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Osteopathic Recognition,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Medical School Graduation Timeline,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Gap Experience Requirement,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Faculty Resident Ratio,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Faculty Count,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Female Faculty Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Faculty Distribution,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Start Date,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Average Hours Per Week First Year,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Maximum Consecutive Hours First Year,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Average 24h Off Duty Periods Per Week First Year,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
F1 OPT First Year,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Current Residents PGY1,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Current Residents PGY2,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Current Residents PGY3,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Structured Didactic Activities PGY1 Hours,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Hospital Outpatient Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Non Hospital Ambulatory Care Percent,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Technology Allowance,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Placement Assistance,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Interprofessional Teamwork,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Debt Counseling,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Resident Retreats,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Off Campus Electives,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Research Rotation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Integrative Medicine Curriculum,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Health Systems Leadership Curriculum,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Medical Spanish Curriculum,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Complementary Medicine Curriculum,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Healthcare Economics Curriculum,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Step 3 or COMLEX Level 3 Support,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Global Health Experience,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Hospice Home Care Experience,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Advanced Degree Training,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Primary Care Track,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Hospitalist Track,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Women's Health Track,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Clinician Educator Track,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Additional Training Beyond Accredited Length,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Milestone Evaluation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Board Certification Pass Rate Evaluation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
OSCE Assessment Evaluation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Patient Surveys Evaluation,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
