rise_program_id,program_specialty_id,acgme_id,program_name,institution,city,state,region,current_research_depth,live_runtime_depth,canonical_supported_depth,sonnet_present,parallel_present,opus_present,terra_on_demand_present,sol_benchmark_present,other_research_present,observed_research_pass_count,promoted_canonical_fact_count,reviewed_but_not_promoted_useful_claim_count,conflicts,insufficient_evidence,researched_not_found,review_ledger_state,last_meaningful_research_date,coverage_step1,coverage_step2,coverage_comlex,coverage_attempts,coverage_yog,coverage_usce,coverage_ecfmg,coverage_deadline,coverage_lor_chair,coverage_prior_gme_gaps,coverage_j1,coverage_h1b,coverage_visa_supported,coverage_visa_conflict,coverage_visa_unknown,coverage_pd,coverage_apd,coverage_coordinator,coverage_core_faculty,coverage_roster,coverage_pgy,coverage_resident_schools,coverage_resident_school_country,coverage_usmd,coverage_usdo,coverage_img,coverage_caribbean,coverage_composition,coverage_classification_coverage,coverage_curriculum,coverage_schedule,coverage_electives,coverage_research,coverage_fellowships,coverage_outcomes,coverage_board,coverage_salary_benefits,coverage_facilities_sim,coverage_community_mission,coverage_differentiators,approved_deep_domains,historical_attempted_deep_domains,deep_standard_missing_domain_count,exact_missing_domains_preventing_deep,required_deep_domains_missing,work_class,recommended_next_provider_model,rationale
rise_prg_4286d118-572d-5ede-9b59-56b1344e7984,rise_ps_6e02371f-8be1-5c80-89b4-8632e068918e,1400511049,Adventist Health White Memorial Program,Adventist Health White Memorial,Los Angeles,CA,West,Basic Profile,Basic Profile,Enriched Research,Y,Y,N,N,N,N,3,1,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:13:30.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,applicationRequirements|applicationTimeline|boardPerformance|curriculumFeatures|officialWebsite|programStructure|residentComposition|salaryBenefits,boardPerformance|residentComposition|visaPublication,4,visaPublication|residentRoster|leadership|fellowshipOutcomes,visaPublication|residentRoster|leadership,GAP_FILL_MEDIUM,OPENAI_TERRA_gpt-5.6-terra,"Multi-domain delta pass, Codex validation, Sol only for unresolved critical conflict."
rise_prg_062039d6-d7ee-573b-8abf-816f4fd2b157,rise_ps_cc53ac48-26be-5de7-a8bf-81eb6aab8add,1401621129,Advocate Health Care/Advocate Christ Medical Center Program,Advocate Health Care,Oak Lawn,IL,Midwest,Basic Profile,Basic Profile,Enriched Research,N,Y,N,N,N,N,2,7,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:39:00.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,applicationRequirements|applicationTimeline|boardPerformance|curriculumFeatures|fellowshipOutcomes|officialWebsite|programStructure|residentComposition|residentRoster|salaryBenefits|visaPublication,boardPerformance|fellowshipOutcomes|leadership|residentComposition|residentRoster|visaPublication,1,leadership,leadership,PROMOTION_RECONCILIATION_ONLY,CODEX_DETERMINISTIC_RECONCILIATION,Reuse/review existing provider evidence and repair canonical projection; no new research call first.
rise_prg_0f58bc09-5f3a-5021-8e77-73775c8e0c42,rise_ps_784d2005-2eb5-51c8-a520-a995b6892997,1401611114,Advocate Health Care/Advocate Illinois Masonic Medical Center Program,Advocate Health Care,Chicago,IL,Midwest,Basic Profile,Basic Profile,Enriched Research,N,Y,N,N,N,N,2,5,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:39:00.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,applicationRequirements|applicationTimeline|boardPerformance|curriculumFeatures|leadership|officialWebsite|programStructure|residentComposition|salaryBenefits|visaPublication,boardPerformance|fellowshipOutcomes|leadership|residentComposition|residentRoster|visaPublication,2,residentRoster|fellowshipOutcomes,residentRoster,PROMOTION_RECONCILIATION_ONLY,CODEX_DETERMINISTIC_RECONCILIATION,Reuse/review existing provider evidence and repair canonical projection; no new research call first.
rise_prg_af3e5016-0ea6-5ca9-b169-a72b9ae6d3bd,rise_ps_e527532e-4881-52e8-97fb-6559c77cef59,1401621130,Advocate Health Care/Advocate Lutheran General Hospital Program,Advocate Health Care,Park Ridge,IL,Midwest,Basic Profile,Basic Profile,Deep Research,N,Y,N,N,N,N,2,8,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:39:00.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,applicationRequirements|applicationTimeline|boardPerformance|curriculumFeatures|fellowshipOutcomes|leadership|officialWebsite|programStructure|residentComposition|residentRoster|salaryBenefits|visaPublication,boardPerformance|fellowshipOutcomes|leadership|residentComposition|residentRoster|visaPublication,0,,,PROMOTION_RECONCILIATION_ONLY,CODEX_DETERMINISTIC_RECONCILIATION,Reuse/review existing provider evidence and repair canonical projection; no new research call first.
rise_prg_416892a2-82d2-5ec7-a9fc-7da9d1784ef3,rise_ps_fd44cd8b-9eee-5970-9c81-45bfb14150a2,1404500001,Aiken Regional Medical Centers Program,Aiken Regional Medical Centers,Aiken,SC,South,Basic Profile,Basic Profile,Basic Profile,N,N,N,N,N,N,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,applicationRequirements|applicationTimeline|curriculumFeatures|officialWebsite|programStructure|residentComposition|salaryBenefits|visaPublication,,4,residentRoster|leadership|boardPerformance|fellowshipOutcomes,residentRoster|leadership,GAP_FILL_MEDIUM,OPENAI_TERRA_gpt-5.6-terra,"Multi-domain delta pass, Codex validation, Sol only for unresolved critical conflict."
rise_prg_506706ec-092e-57d1-a1e1-b37685a1ccd6,rise_ps_5b47cd73-fc47-5f73-b29a-fe75545bf183,1400531051,Alameda Health System-Highland Hospital Program,Alameda Health System-Highland Hospital,Oakland,CA,West,Basic Profile,Basic Profile,Enriched Research,N,N,Y,N,N,N,2,2,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:39:00.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,applicationRequirements|applicationTimeline|curriculumFeatures|officialWebsite|programStructure|residentComposition|residentRoster|salaryBenefits|visaPublication,leadership|residentRoster|visaPublication,3,leadership|boardPerformance|fellowshipOutcomes,leadership,PROMOTION_RECONCILIATION_ONLY,CODEX_DETERMINISTIC_RECONCILIATION,Reuse/review existing provider evidence and repair canonical projection; no new research call first.
rise_prg_84ddc201-00c4-5235-8014-216fca8a5757,rise_ps_183813ad-01d3-58a0-bc92-a61bf488bb0a,1403531248,Albany Med Health System Program,Albany Med Health System,Albany,NY,Northeast,Basic Profile,Basic Profile,Enriched Research,Y,Y,N,N,N,N,3,3,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:13:30.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,applicationRequirements|applicationTimeline|boardPerformance|curriculumFeatures|fellowshipOutcomes|officialWebsite|programStructure|residentComposition|residentRoster|salaryBenefits|visaPublication,boardPerformance|fellowshipOutcomes|residentComposition|residentRoster|visaPublication,1,leadership,leadership,GAP_FILL_LIGHT,OPENAI_TERRA_gpt-5.6-terra,"Targeted delta research; Terra had the best measured speed/cost for the benchmark task class, with Codex validation."
rise_prg_a2e5f28a-efee-534a-b0f0-00a802afece9,rise_ps_5eb178d6-340c-5f70-8fb4-276842b6ba70,1404111381,Allegheny Health Network Medical Education Consortium (AGH) Program,Allegheny Health Network Medical Education Consortium,Pittsburgh,PA,Northeast,Basic Profile,Basic Profile,Enriched Research,Y,Y,N,N,N,N,3,1,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:13:30.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,applicationRequirements|applicationTimeline|boardPerformance|curriculumFeatures|officialWebsite|programStructure|residentComposition|salaryBenefits|visaPublication,boardPerformance|leadership|residentComposition|visaPublication,3,residentRoster|leadership|fellowshipOutcomes,residentRoster|leadership,GAP_FILL_MEDIUM,OPENAI_TERRA_gpt-5.6-terra,"Multi-domain delta pass, Codex validation, Sol only for unresolved critical conflict."
rise_prg_b0381856-64c1-5654-9981-0a5afa996bc0,rise_ps_9fdb992f-841b-5728-b580-5378ff3bb052,1402300491,Anne Arundel Medical Center Program,Anne Arundel Medical Center,Annapolis,MD,South,Basic Profile,Basic Profile,Basic Profile,N,N,N,N,N,N,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,applicationRequirements|applicationTimeline|curriculumFeatures|officialWebsite|programStructure|residentComposition|salaryBenefits|visaPublication,,4,residentRoster|leadership|boardPerformance|fellowshipOutcomes,residentRoster|leadership,GAP_FILL_MEDIUM,OPENAI_TERRA_gpt-5.6-terra,"Multi-domain delta pass, Codex validation, Sol only for unresolved critical conflict."
rise_prg_74e8f578-70c3-5e0d-91bd-70b7ffaa57c1,rise_ps_265944f0-67bb-55c8-967e-7327f634a9f0,1402000145,Appalachian Regional Healthcare Inc Program,Appalachian Regional Healthcare Inc,Whitesburg,KY,South,Basic Profile,Basic Profile,Deep Research,Y,Y,N,N,N,N,3,2,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,UNAVAILABLE_CURRENT_LEDGER_EMPTY,CURRENT_LEDGER_EMPTY_HISTORICAL_COUNTS_NOT_PROGRAM_MAPPABLE,"""2026-09-10T23:13:30.000Z""",Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,applicationRequirements|applicationTimeline|curriculumFeatures|leadership|officialWebsite|programStructure|residentComposition|residentRoster|salaryBenefits|visaPublication,boardPerformance|fellowshipOutcomes|leadership|residentComposition|residentRoster|visaPublication,2,boardPerformance|fellowshipOutcomes,,PROMOTION_RECONCILIATION_ONLY,CODEX_DETERMINISTIC_RECONCILIATION,Reuse/review existing provider evidence and repair canonical projection; no new research call first.
