program_specialty_id,program_id,acgme_id,program_name,institution,state,specialty,research_depth,paid_work_class,exact_missing_depth_domains,missing_high_value_domains,student_value_priority,img_do_visa_relevance,recommended_provider,validation_route,observed_cost_low_usd,observed_cost_expected_usd,observed_cost_high_usd,priority_score
rise_ps_b3bbc7b0-8df0-55f7-ab89-8a76819583c5,rise_prg_64ed814b-92f9-5c51-8092-3e8d4654b9e0,1405111014,Naval Medical Center (Portsmouth) Program,Naval Medical Center (Portsmouth),VA,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_1229ef3d-a73d-5fca-a38a-78cd644af679,rise_prg_4308ee12-a8ee-5ad8-93be-fe963757d17f,1405400002,MultiCare Health System Program,MultiCare Health System,WA,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|salaryBenefits|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_54bdd958-daec-5dee-bc2b-3cd488bfde4c,rise_prg_ae9006b1-d673-56ca-aa7a-67bfba512562,1405600003,"Medical College of Wisconsin Affiliated Hospitals, Inc/ThedaCare Regional Medical Center - Neenah Program",Medical College of Wisconsin Affiliated Hospitals Inc,WI,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|salaryBenefits|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_f859e715-fe59-598e-b343-3f5eda4b25ac,rise_prg_e25c69fd-3198-5a6e-8fce-a932c8bde259,1404500004,Bon Secours St. Francis Program,1 Saint Francis Dr,SC,Internal Medicine,ENRICHED,DELTA_MEDIUM,residentRoster|boardPerformance|fellowshipOutcomes|applicationRequirements,step2|comlex|attempts|yog|usce|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|deadline,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,99
rise_ps_ac18b1ca-80b0-5971-9d9c-23b888877fb7,rise_prg_29a56633-7b86-51bd-bab8-5d8ca1b4c6f6,1402312159,MedStar Health Georgetown University (Baltimore) Program,MedStar Health Georgetown University,MD,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|yog|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,95
rise_ps_94bc58f8-92d9-58a8-8f2a-26f067264ff8,rise_prg_6eb251d4-7f24-5ba2-84e9-09c18a48a247,1403200226,HCA Healthcare/Tufts University School of Medicine: Portsmouth Regional Hospital Program,HCA Healthcare/Tufts University School of Medicine-Portsmouth Regional Hospital,NH,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|residentComposition,comlex|attempts|yog|usce|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|yog|usce|deadline,VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,94
rise_ps_cfac6c95-31a2-5f34-849e-2c936520182a,rise_prg_29969bda-63d6-5a22-af4b-0ca8be1dde3b,1400512012,Naval Medical Center (San Diego) Program,Naval Medical Center (San Diego),CA,Internal Medicine,ENRICHED,DELTA_MEDIUM,boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|deadline,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,92
rise_ps_7be4cf13-1aaa-5cbe-8340-bf881ff4c8aa,rise_prg_a8e542a5-01d3-5a78-97d2-44eda3a318d5,1404800017,Prime South GME Consortium Program,Prime South GME Consortium,TX,Internal Medicine,ENRICHED,DELTA_MEDIUM,boardPerformance|fellowshipOutcomes|residentComposition,step2|comlex|attempts|yog|usce|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|deadline,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,92
rise_ps_f4c063ce-7dd5-518f-ba50-f1251e2f6118,rise_prg_86a6e271-09d4-5164-9365-ace72fb1e79b,1401411007,Tripler Army Medical Center Program,Tripler Army Medical Center,HI,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,91
rise_ps_129f429e-8108-5ec7-8d1b-19bf7c4f9c30,rise_prg_cd1324fb-59b8-57d5-b0b5-bf058b944e99,1403812343,OhioHealth/Riverside Methodist Hospital Program,OhioHealth,OH,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,91
rise_ps_7977aa6a-3b30-548c-acd6-bddb5bd5e511,rise_prg_42784bc1-64a6-5f90-902c-9dba4d619359,1405412010,Madigan Army Medical Center Program,Madigan Army Medical Center,WA,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,91
rise_ps_ce98a1cb-fc58-5ef8-b5e2-1d8d8979c877,rise_prg_a07fe6ff-c2b3-5193-8fcc-e8d8727830df,1404700006,Vanderbilt University Medical Center (Lebanon) Program,Vanderbilt University Medical Center,TN,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|salaryBenefits|residentComposition,attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,86
rise_ps_acc32378-c892-5aed-b9e3-3d4c82b377f6,rise_prg_59ef01ad-57b7-5f69-a93c-5bacd0dca095,1400300001,Creighton University East Valley Arizona Program,Creighton University East Valley Arizona,AZ,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,79
rise_ps_a153d0b8-a1e8-5c3b-85fb-0d84b149bae8,rise_prg_8a4b5c78-1d91-5087-bd9f-018261f1f7c2,1401400001,University of Hawaii John A Burns School of Medicine Program,University of Hawaii John A Burns School of Medicine,HI,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_46e5218d-409d-5b6c-83ef-1271e4d4dfe4,rise_prg_a40de60a-ac02-5d20-aa2b-5aca9dd562c0,1401821138,University of Iowa Health Care Medical Center Program,University of Iowa Health Care Medical Center,IA,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,comlex|attempts|usce|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|usce|deadline,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_39b15141-e590-5b80-a5f8-bc1ed2d4d39a,rise_prg_8dbd23ef-c294-5f10-8e83-e5aa2b91de7b,1402311153,Johns Hopkins University Program,Johns Hopkins University School of Medicine,MD,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_3a90f44e-590f-58f0-8838-8e1e603d0aec,rise_prg_e95ea339-4b70-53b7-b4e4-759e04f58b19,1402800917,HCA Healthcare Kansas City/Overland Park Regional Medical Center Program,HCA Healthcare Kansas City,KS,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_72964005-50a1-5a43-8f59-df98bebb046b,rise_prg_add62921-fdee-55e3-8907-e39d3629a1f1,1404000358,Samaritan Health Services-Corvallis Program,Samaritan Health Services-Corvallis,OR,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,79
rise_ps_976bdc46-4119-5efc-911e-d8486812aac5,rise_prg_a63fa176-ab5b-58a1-8b7b-f1be0dd21179,1404000359,Oregon Health & Science University (OHSU Health)/Hillsboro Medical Center Program,Oregon Health & Science University (OHSU Health),OR,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|yog|usce|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|yog|usce|deadline,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_5a6d2cf1-8346-5588-9ae7-573c94404d18,rise_prg_b91ff531-b120-53fa-bf19-a7b42ec9ed4a,1404231525,Ramon Betances Hospital-Mayaguez Medical Center/Ponce School of Medicine Consortium Program,Ramon E Betances Hospital-Mayaguez Medical Center,PR,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,79
rise_ps_9f663a15-492c-5aee-9fff-3720ef9304c5,rise_prg_3a9a1f01-d46f-532c-993e-2b6d9024e53d,1404521404,Prisma Health/University of South Carolina SOM Columbia (Columbia) Program,Prisma Health,SC,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_fbba6b22-6d17-5f6d-834e-a9c64e37905f,rise_prg_ef9a39f0-b5b8-5853-98b9-38e0c89095ab,1405400442,Washington State University College of Medicine Program,Washington State University College of Medicine,WA,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_68c1a8d7-50c0-5048-9d34-4c4ffbb6fa5b,rise_prg_922c84f0-7c3d-56cb-b9ff-b1d34497e022,1405631445,Medical College of Wisconsin Affiliated Hospitals Program,Medical College of Wisconsin Affiliated Hospitals Inc,WI,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,79
rise_ps_5600756a-5a03-5b9d-9836-687c34d075e8,rise_prg_51e21562-79bb-53d6-9094-90d1f921138c,1402311013,National Capital Consortium Program,National Capital Consortium,MD,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|residentComposition,attempts|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,74
rise_ps_8c6d0c07-08d1-5cca-94b3-973ce4532493,rise_prg_ff7c6be6-9756-5e33-b3c4-12b069dc2f78,1403300004,CarePoint Health Program,CarePoint Health,NJ,Internal Medicine,ENRICHED,DELTA_MEDIUM,visaPublication|residentRoster|boardPerformance,attempts|usce|visa|resident_roster|resident_medical_school|deadline|why_this_program,Missing applicant gates: attempts|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,72
rise_ps_d3943754-d7aa-5b18-9ed8-8785892f01d5,rise_prg_f365191e-05d5-5d72-9f7c-9289c3f713bb,1401100019,Health Education Services/Physicians Regional Medical Center - Pine Ridge Program,Health Education Services,FL,Internal Medicine,ENRICHED,DELTA_MEDIUM,residentRoster|fellowshipOutcomes|salaryBenefits,attempts|yog|usce|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|yog|usce|deadline,DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,71
rise_ps_f6825eb8-1e3e-5c37-882b-74f913f54db2,rise_prg_d0de327c-7daa-5f31-9757-dc4271bfb735,1404800902,HCA Houston Healthcare/University of Houston (Kingwood) Program,HCA Houston Healthcare/University of Houston,TX,Internal Medicine,BASIC,DELTA_MEDIUM,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,71
rise_ps_01099225-cdac-5e70-bb6b-13d809cd6faa,rise_prg_f4a31589-0e6e-54b9-8c20-5e461b739dee,1404821519,Texas Tech University (Permian Basin) Program,Texas Tech University Health Sciences Center (Permian Basin),TX,Internal Medicine,ENRICHED,DELTA_MEDIUM,residentRoster|boardPerformance|fellowshipOutcomes,comlex|attempts|usce|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|usce|deadline,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,71
rise_ps_ffa959f9-0a95-5af0-b30f-0e097a8607b3,rise_prg_f4abe567-480a-572b-bc49-2d957d4308d7,1402000003,University of Kentucky College of Medicine (Pikeville) Program,University of Kentucky College of Medicine,KY,Internal Medicine,BASIC,FULL,residentRoster|leadership|boardPerformance|fellowshipOutcomes|residentComposition,attempts|usce|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|deadline,VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,70
rise_ps_88211bc4-15fd-5938-9d7c-55ab6e9ae954,rise_prg_215d9df0-a2e5-5cd7-85af-a1e5f102c7f8,1405500001,West Virginia University School of Medicine Program,West Virginia University School of Medicine,WV,Internal Medicine,BASIC,FULL,residentRoster|leadership|boardPerformance|fellowshipOutcomes|residentComposition,attempts|usce|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|deadline,VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,70
rise_ps_38c47fd2-5336-5264-b5f4-eab68e746a96,rise_prg_ef260200-986a-52d2-952b-dcf9b48f2396,1400100001,Health Education Services/Crestwood Medical Center Program,Health Education Services,AL,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes,comlex|attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,67
rise_ps_085d4cfc-6d15-5f68-b5d9-077aebe8e68d,rise_prg_b7f2dc23-d3ee-5a51-baca-318cd6f3a684,1400300537,HonorHealth/Scottsdale Thompson Peak Medical Center Program,HonorHealth,AZ,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_7fb12d15-f6b4-5f01-bf2c-d1cce310c806,rise_prg_f6af42c2-18b7-58c4-af0e-12abbfa541cf,1400300538,HonorHealth/Four Peaks Medical Center Program,HonorHealth,AZ,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_95c3479d-164a-5d57-b739-7c485df43da2,rise_prg_00bf47e3-25f3-5347-8a9a-9cab261c0bd0,1400300541,Abrazo Health Network Program,Abrazo Health Network,AZ,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
