program_specialty_id,program_id,acgme_id,program_name,institution,state,specialty,research_depth,research_state,approved_domain_count,approved_research_fields,pending_research_fields,approved_source_claims,conflict_claims,researched_not_found_claims,insufficient_evidence_claims,available_high_value_domains,missing_high_value_domains,exact_missing_depth_domains,missing_domain_count,no_more_research,paid_work_class,student_value_priority,img_do_visa_relevance,recommended_provider,validation_route,observed_cost_low_usd,observed_cost_expected_usd,observed_cost_high_usd,priority_score
rise_ps_1d7283a3-5d28-588a-af99-06b4c47bf6d4,rise_prg_4b2fa47a-d196-5685-bea3-0c01dcc7a077,1204111264,Allegheny Health Network Medical Education Consortium (SVH) Program,Allegheny Health Network Medical Education Consortium,PA,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_de1edce8-0a62-5bb8-a4c9-93f7d46d7df6,rise_prg_d79da7e4-d008-513a-b52b-b89cc5970d5c,1202621526,Allina Health Program,Allina Health,MN,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_e919a649-7e81-573f-8c63-033b124e2fe2,rise_prg_954b11f4-cbe0-5451-895f-990904fde3cc,1200500764,AltaMed Health Services Program,AltaMed Health Services,CA,Family Medicine,ENRICHED,VERIFIED_RESEARCH,8,research.resident_roster,,1,0,0,0,step2|comlex|yog|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|leadership|fellowships_outcomes|why_this_program,visaPublication|leadership|boardPerformance|fellowshipOutcomes,6,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,56
rise_ps_cab18775-c46a-55b1-9fa2-389100b062e4,rise_prg_f5d82600-0a28-5ca4-b7cc-34eb8187d0cb,1203731229,Altru Health System (Grand Forks) Program,Altru Health System Hospital,ND,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_2b1a0ac9-432b-52b3-bfa3-15622f49a722,rise_prg_9c698fa2-6457-5e8b-bd59-51352519d59f,1204511289,AnMed Health (Anderson) Program,AnMed Health,SC,Family Medicine,ENRICHED,VERIFIED_RESEARCH,8,research.resident_roster,leadership,1,1,0,0,step2|comlex|yog|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|leadership|fellowships_outcomes|why_this_program,visaPublication|leadership|boardPerformance|fellowshipOutcomes,6,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,60
rise_ps_9b226881-de07-5585-8d2f-2bc48bad82ca,rise_prg_e14f2bea-d3a9-5e51-923f-809fa195f3d9,1200400001,Arkansas College of Osteopathic Medicine/Mercy Program,Arkansas College of Osteopathic Medicine,AR,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_8013f8ef-3244-5a20-9d84-d013ddc113f9,rise_prg_9fb004b9-a26c-5370-95c6-4a2e2da40f1c,1203500729,Arnot Ogden Medical Center Program,Arnot Ogden Medical Center,NY,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_2826efc5-c18a-5d4c-adc0-a80ae4ae9f84,rise_prg_eb22785f-1b27-5169-ab73-32ca82423ef5,1200511057,Arrowhead Regional Medical Center Program,Arrowhead Regional Medical Center,CA,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_a258b4fa-f71c-5fd1-8a64-26af5cfb47a3,rise_prg_de80e7cd-268a-5b3b-8db9-a02c7de983ec,1201611103,Ascension Illinois/Saint Joseph (Chicago) Program,Ascension Illinois,IL,Family Medicine,ENRICHED,VERIFIED_RESEARCH,9,research.do_accessibility|research.img_accessibility|research.resident_roster|research.visa,,5,0,2,6,step2|comlex|yog|visa|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|leadership|fellowships_outcomes|why_this_program,leadership|boardPerformance|fellowshipOutcomes,5,YES,NO_PAID_WORK,Missing applicant gates: attempts|usce,IMG|DO|VISA,NONE,NONE,,,,44
rise_ps_afbf5200-b15e-5925-98ef-235c363c6bb3,rise_prg_47f62eff-3734-54de-b1f8-35e0e42ff9d0,1201711127,Ascension St Vincent Hospital Indianapolis Program,Ascension St Vincent Hospital Indianapolis,IN,Family Medicine,BASIC,EVIDENCE_FOUND_VERIFICATION_PENDING,8,"""""",leadership,0,1,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,59
rise_ps_f6ba5f7e-6a5e-5657-8851-a78e3f0418a5,rise_prg_4ef96011-5ec8-57db-8270-324792ab016e,1205600005,Ascension Wisconsin Program,Ascension St Vincent Hospital Indianapolis,WI,Family Medicine,DEEP,VERIFIED_RESEARCH,10,research.leadership|research.resident_roster,,2,0,0,0,step2|comlex|yog|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|fellowships_outcomes|why_this_program,boardPerformance|fellowshipOutcomes,4,YES,NO_PAID_WORK,Missing applicant gates: attempts|usce,IMG|DO|VISA,NONE,NONE,,,,41
rise_ps_e8e9bc64-c4cb-5342-aea9-5d5d5c1146d8,rise_prg_6ba82cfb-ae6f-530b-a8d8-e747abccadfd,1203300686,Atlantic Health System/Morristown Medical Center Program,Atlantic Health System,NJ,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_d5c2c7a8-d598-5cfa-bc23-aaa1a832ab1d,rise_prg_c6f618b4-e433-561d-8492-e045b79c0085,1203311195,Atlantic Health System/Overlook Medical Center Program,Atlantic Health System,NJ,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_2c368117-ac19-5f1c-9ca4-ce938c3fca4b,rise_prg_b4d633cb-9180-5073-9ca7-83a99d5abac8,1203300691,AtlantiCare Regional Medical Center Program,AtlantiCare Regional Medical Center,NJ,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_4377d804-f071-5cf8-88c1-05b3314620cc,rise_prg_37cabf91-e477-501a-8ab7-2032dc69c4a7,1203621580,Atrium Health Cabarrus Program,Atrium Health Cabarrus,NC,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
